week,topic,activity,momentum,score,signal_allocation,equal_allocation
2026-06-29,Science & Technology,1,1.999999640000044,1.999999640000044,3.0,0.625
2026-06-29,Theatre & Visual Arts,1,-0.2500000224999993,-0.2500000224999993,3.0,0.625
2026-06-29,Art & Culture,0,-1.0,-1.0,3.0,0.625
2026-06-29,Climate & Environment,0,-1.0,-1.0,1.0,0.625
2026-06-29,Economics & Finance,0,-1.0,-1.0,0.0,0.625
2026-06-29,Education,0,-1.0,-1.0,0.0,0.625
2026-06-29,Film & Television,0,-1.0,-1.0,0.0,0.625
2026-06-29,Global Affairs & Geopolitics,0,-1.0,-1.0,0.0,0.625
2026-06-29,Health & Medicine,0,-1.0,-1.0,0.0,0.625
2026-06-29,"Lifestyle, Food & Travel",0,-1.0,-1.0,0.0,0.625
2026-06-29,Middle East & Global Conflict,0,-1.0,-1.0,0.0,0.625
2026-06-29,Society & Identity,0,-1.0,-1.0,0.0,0.625
2026-06-29,Sport & Varsity,0,-1.0,-1.0,0.0,0.625
2026-06-29,UCL & Campus,0,-1.0,-1.0,0.0,0.625
2026-06-29,UK Politics,0,-1.0,-1.0,0.0,0.625
2026-06-29,US & International Politics,0,-1.0,-1.0,0.0,0.625
