week,next_week,predicted_momentum,precision_momentum,predicted_baseline,precision_baseline,actual_top_5
2022-12-19,2022-12-26,Global Affairs & Geopolitics;Science & Technology;Theatre & Visual Arts;Art & Culture;Climate & Environment,0.4,Global Affairs & Geopolitics;Science & Technology;Theatre & Visual Arts;Art & Culture;Climate & Environment,0.4,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2022-12-26,2023-01-02,Global Affairs & Geopolitics;Science & Technology;Theatre & Visual Arts;Art & Culture;Climate & Environment,0.4,Global Affairs & Geopolitics;Science & Technology;Theatre & Visual Arts;Art & Culture;Climate & Environment,0.4,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2023-01-02,2023-01-09,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2023-01-09,2023-01-16,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2023-01-16,2023-01-23,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,0.8,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,0.8,Education;UK Politics;Art & Culture;Climate & Environment;Economics & Finance
2023-01-23,2023-01-30,Education;UK Politics;Art & Culture;Climate & Environment;Economics & Finance,0.8,Education;UK Politics;Art & Culture;Climate & Environment;Economics & Finance,0.8,Film & Television;Art & Culture;Climate & Environment;Economics & Finance;Education
2023-01-30,2023-02-06,Education;Film & Television;UK Politics;Art & Culture;Climate & Environment,0.8,Education;Film & Television;UK Politics;Art & Culture;Climate & Environment,0.8,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2023-02-06,2023-02-13,Education;Film & Television;UK Politics;Art & Culture;Climate & Environment,0.6,Education;Film & Television;UK Politics;Art & Culture;Climate & Environment,0.6,Global Affairs & Geopolitics;Art & Culture;Climate & Environment;Economics & Finance;Education
2023-02-13,2023-02-20,Education;Film & Television;UK Politics;Global Affairs & Geopolitics;Art & Culture,0.6,Education;Film & Television;Global Affairs & Geopolitics;UK Politics;Art & Culture,0.6,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2023-02-20,2023-02-27,Film & Television;Global Affairs & Geopolitics;Art & Culture;Climate & Environment;Economics & Finance,0.8,Film & Television;Global Affairs & Geopolitics;Art & Culture;Climate & Environment;Economics & Finance,0.8,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
