week,topic,activity,momentum
2022-10-03,Art & Culture,0,
2022-10-10,Art & Culture,0,
2022-10-17,Art & Culture,0,
2022-10-24,Art & Culture,0,
2022-10-31,Art & Culture,0,
2022-11-07,Art & Culture,0,
2022-11-14,Art & Culture,0,
2022-11-21,Art & Culture,0,
2022-11-28,Art & Culture,0,
2022-12-05,Art & Culture,0,
2022-12-12,Art & Culture,0,
2022-12-19,Art & Culture,0,-1.0
2022-12-26,Art & Culture,0,-1.0
2023-01-02,Art & Culture,0,-1.0
2023-01-09,Art & Culture,0,-1.0
2023-01-16,Art & Culture,0,-1.0
2023-01-23,Art & Culture,0,-1.0
2023-01-30,Art & Culture,0,-1.0
2023-02-06,Art & Culture,0,-1.0
2023-02-13,Art & Culture,0,-1.0
2023-02-20,Art & Culture,0,-1.0
2023-02-27,Art & Culture,0,-1.0
2023-03-06,Art & Culture,0,-1.0
2023-03-13,Art & Culture,0,-1.0
2023-03-20,Art & Culture,0,-1.0
2023-03-27,Art & Culture,0,-1.0
2023-04-03,Art & Culture,0,-1.0
2023-04-10,Art & Culture,0,-1.0
2023-04-17,Art & Culture,0,-1.0
2023-04-24,Art & Culture,0,-1.0
2023-05-01,Art & Culture,0,-1.0
2023-05-08,Art & Culture,0,-1.0
2023-05-15,Art & Culture,0,-1.0
2023-05-22,Art & Culture,0,-1.0
2023-05-29,Art & Culture,0,-1.0
2023-06-05,Art & Culture,0,-1.0
2023-06-12,Art & Culture,0,-1.0
2023-06-19,Art & Culture,0,-1.0
2023-06-26,Art & Culture,0,-1.0
2023-07-03,Art & Culture,0,-1.0
2023-07-10,Art & Culture,0,-1.0
2023-07-17,Art & Culture,0,-1.0
2023-07-24,Art & Culture,0,-1.0
2023-07-31,Art & Culture,0,-1.0
2023-08-07,Art & Culture,0,-1.0
2023-08-14,Art & Culture,0,-1.0
2023-08-21,Art & Culture,0,-1.0
2023-08-28,Art & Culture,0,-1.0
2023-09-04,Art & Culture,0,-1.0
2023-09-11,Art & Culture,0,-1.0
2023-09-18,Art & Culture,0,-1.0
2023-09-25,Art & Culture,0,-1.0
2023-10-02,Art & Culture,0,-1.0
2023-10-09,Art & Culture,0,-1.0
2023-10-16,Art & Culture,0,-1.0
2023-10-23,Art & Culture,0,-1.0
2023-10-30,Art & Culture,0,-1.0
2023-11-06,Art & Culture,0,-1.0
2023-11-13,Art & Culture,0,-1.0
2023-11-20,Art & Culture,1,1.9999996400000435
2023-11-27,Art & Culture,0,1.9999996400000435
2023-12-04,Art & Culture,0,1.9999996400000435
2023-12-11,Art & Culture,0,1.9999996400000435
2023-12-18,Art & Culture,0,-1.0
2023-12-25,Art & Culture,0,-1.0
2024-01-01,Art & Culture,0,-1.0
2024-01-08,Art & Culture,0,-1.0
2024-01-15,Art & Culture,0,-1.0
2024-01-22,Art & Culture,0,-1.0
2024-01-29,Art & Culture,0,-1.0
2024-02-05,Art & Culture,0,-1.0
2024-02-12,Art & Culture,0,-1.0
2024-02-19,Art & Culture,0,-1.0
2024-02-26,Art & Culture,0,-1.0
2024-03-04,Art & Culture,0,-1.0
2024-03-11,Art & Culture,0,-1.0
2024-03-18,Art & Culture,0,-1.0
2024-03-25,Art & Culture,0,-1.0
2024-04-01,Art & Culture,0,-1.0
2024-04-08,Art & Culture,0,-1.0
2024-04-15,Art & Culture,0,-1.0
2024-04-22,Art & Culture,0,-1.0
2024-04-29,Art & Culture,0,-1.0
2024-05-06,Art & Culture,0,-1.0
2024-05-13,Art & Culture,0,-1.0
2024-05-20,Art & Culture,0,-1.0
2024-05-27,Art & Culture,0,-1.0
2024-06-03,Art & Culture,0,-1.0
2024-06-10,Art & Culture,0,-1.0
2024-06-17,Art & Culture,0,-1.0
2024-06-24,Art & Culture,0,-1.0
2024-07-01,Art & Culture,0,-1.0
2024-07-08,Art & Culture,0,-1.0
2024-07-15,Art & Culture,0,-1.0
2024-07-22,Art & Culture,0,-1.0
2024-07-29,Art & Culture,0,-1.0
2024-08-05,Art & Culture,0,-1.0
2024-08-12,Art & Culture,0,-1.0
2024-08-19,Art & Culture,0,-1.0
2024-08-26,Art & Culture,0,-1.0
2024-09-02,Art & Culture,0,-1.0
2024-09-09,Art & Culture,0,-1.0
2024-09-16,Art & Culture,0,-1.0
2024-09-23,Art & Culture,0,-1.0
2024-09-30,Art & Culture,0,-1.0
2024-10-07,Art & Culture,0,-1.0
2024-10-14,Art & Culture,0,-1.0
2024-10-21,Art & Culture,0,-1.0
2024-10-28,Art & Culture,0,-1.0
2024-11-04,Art & Culture,0,-1.0
2024-11-11,Art & Culture,0,-1.0
2024-11-18,Art & Culture,0,-1.0
2024-11-25,Art & Culture,0,-1.0
2024-12-02,Art & Culture,1,1.9999996400000435
2024-12-09,Art & Culture,0,1.9999996400000435
2024-12-16,Art & Culture,0,1.9999996400000435
2024-12-23,Art & Culture,0,1.9999996400000435
2024-12-30,Art & Culture,0,-1.0
2025-01-06,Art & Culture,0,-1.0
2025-01-13,Art & Culture,0,-1.0
2025-01-20,Art & Culture,0,-1.0
2025-01-27,Art & Culture,0,-1.0
2025-02-03,Art & Culture,0,-1.0
2025-02-10,Art & Culture,1,0.49999991000000543
2025-02-17,Art & Culture,0,0.49999991000000543
2025-02-24,Art & Culture,0,1.9999996400000435
2025-03-03,Art & Culture,0,1.9999996400000435
2025-03-10,Art & Culture,0,-1.0
2025-03-17,Art & Culture,0,-1.0
2025-03-24,Art & Culture,0,-1.0
2025-03-31,Art & Culture,0,-1.0
2025-04-07,Art & Culture,0,-1.0
2025-04-14,Art & Culture,0,-1.0
2025-04-21,Art & Culture,0,-1.0
2025-04-28,Art & Culture,0,-1.0
2025-05-05,Art & Culture,0,-1.0
2025-05-12,Art & Culture,0,-1.0
2025-05-19,Art & Culture,0,-1.0
2025-05-26,Art & Culture,0,-1.0
2025-06-02,Art & Culture,0,-1.0
2025-06-09,Art & Culture,0,-1.0
2025-06-16,Art & Culture,0,-1.0
2025-06-23,Art & Culture,0,-1.0
2025-06-30,Art & Culture,0,-1.0
2025-07-07,Art & Culture,0,-1.0
2025-07-14,Art & Culture,0,-1.0
2025-07-21,Art & Culture,0,-1.0
2025-07-28,Art & Culture,0,-1.0
2025-08-04,Art & Culture,0,-1.0
2025-08-11,Art & Culture,0,-1.0
2025-08-18,Art & Culture,0,-1.0
2025-08-25,Art & Culture,0,-1.0
2025-09-01,Art & Culture,0,-1.0
2025-09-08,Art & Culture,0,-1.0
2025-09-15,Art & Culture,0,-1.0
2025-09-22,Art & Culture,0,-1.0
2025-09-29,Art & Culture,0,-1.0
2025-10-06,Art & Culture,0,-1.0
2025-10-13,Art & Culture,0,-1.0
2025-10-20,Art & Culture,0,-1.0
2025-10-27,Art & Culture,0,-1.0
2025-11-03,Art & Culture,0,-1.0
2025-11-10,Art & Culture,0,-1.0
2025-11-17,Art & Culture,0,-1.0
2025-11-24,Art & Culture,0,-1.0
2025-12-01,Art & Culture,0,-1.0
2025-12-08,Art & Culture,0,-1.0
2025-12-15,Art & Culture,0,-1.0
2025-12-22,Art & Culture,0,-1.0
2025-12-29,Art & Culture,0,-1.0
2026-01-05,Art & Culture,0,-1.0
2026-01-12,Art & Culture,0,-1.0
2026-01-19,Art & Culture,1,1.9999996400000435
2026-01-26,Art & Culture,0,1.9999996400000435
2026-02-02,Art & Culture,1,1.9999998200000109
2026-02-09,Art & Culture,2,1.9999999100000028
2026-02-16,Art & Culture,0,1.249999932500002
2026-02-23,Art & Culture,0,1.249999932500002
2026-03-02,Art & Culture,0,0.4999999550000014
2026-03-09,Art & Culture,0,-1.0
2026-03-16,Art & Culture,1,-0.40000001439999966
2026-03-23,Art & Culture,0,-0.40000001439999966
