article_id,date,title,author,section,topic,tags,featured,url
PI0001,2015-11-08,The IB: A Brave New Education,Thomas Hollands,Opinion,,Education,,
PI0002,2016-02-04,American Football Touches Down on UCL Soil,JP Casey,News,,Sport,,
PI0003,2016-03-06,UCL Men's Hockey Triumph,Jake Bullock,News,,"Sport, Varsity",,
PI0004,2016-03-06,UCL Women's Hockey give King's a run for their money,Joe Andreyev,News,,"Sport, Varsity",,
PI0005,2016-03-07,UCL Badminton have a nail-biting finish to Varsity,Ifkar Arifin,News,,"Sport, Varsity",,
PI0006,2016-03-08,Netball Varsity: KCL versus UCL,Harry Leitch,News,,"Sport, Varsity",,
PI0007,2016-03-08,UCL Serve King's a Maiden Varsity Tennis Defeat,Henry Hill,News,,"Sport, Varsity",,
PI0008,2016-03-08,UCL swims to victory at Varsity,Gah-Kai Leung,News,,"Sport, Varsity",,
PI0009,2016-11-20,Educational equality can heal our society,James Bennett,Opinion,,Education,,
PI0010,2019-10-31,UCL launches smoke-free scheme,Tharani Ahillan,News,,"Health, Smoking, Smoke-Free UCL",,
PI0011,2019-11-09,Highlights from the UCL Political Societies’ Environmental Debate,Tom Cross,News,,"Environment, Climate Crisis, Politics",,
PI0012,2019-11-22,Freshernomics,Hannah Buttle,Lifestyle & Culture,,"Freshers, Economics, Comedy",,
PI0013,2019-12-03,A shift to sustainability,Daria Mosolova,News,,"Environment, climate crisis",,
PI0014,2019-12-03,Autumn Research Round-Up,Pi Media,Science and Tech,,"Research, Environment, Chemistry, Technology, Mental Health",,
PI0015,2019-12-03,Food tech champions,Barnabé Colin,Science and Tech,,"Environment, climate crisis",,
PI0016,2019-12-03,Is Russia finally waking up to climate change?,Lizzy Nidz,Features,,"Environment, climate crisis, Russia",,
PI0017,2019-12-17,The power of grapefruit,Winston Zhu,Science and Tech,,"food, medication, Health",,
PI0018,2019-12-20,When heroes fall,Marisol Acuna,Features,,Sport,,
PI0019,2019-12-31,What can we learn from the 2010s?,Nikolas Koch,Opinion,,"Technology, climate crisis, politics, Environment",,
PI0020,2020-01-10,Australia is burning. So what can we do?,Olivia Olphin,Opinion,,"Environment, Climate Crisis",,
PI0021,2020-01-10,"The cries of the unborn grow stronger, but are we listening?",Olivia Ward-Jackson,Opinion,,"Environment, climate crisis",,
PI0022,2020-01-15,Are we there yet? Wallace and Gromit creators join Greenpeace to tackle the climate crisis,Sam Vladimirsky,Old Culture,,"Environment, climate crisis, TV and Film",,
PI0023,2020-01-20,A doctor like me,Tharani Ahillan,Science and Tech,,"Diversity, medicine, health",,
PI0024,2020-03-05,Tu’bishvat: why “Jewish Earth Day” is more than just tree-hugging,Aaron Seitler,Opinion,,Environment,,
PI0025,2020-03-08,Varsity Women's Hockey: UCL punished by strong King’s team,Matt Cross,News,,"Varsity, Sport, Hockey",,
PI0026,2020-03-10,How will Brexit impact language learning in the UK?,Isobel Helme,Opinion,,"Brexit, language, Erasmus, Education",,
PI0027,2020-03-11,Varsity Climbing: UCL beats KCL in first ever competition,Felicia Hu,News,,"Varsity, Sport, Climbing",,
PI0028,2020-03-12,Varsity Men's Basketball: last-minute win for UCL,Anna Vall Navés,News,,"Sport, Varsity, Basketball",,
PI0029,2020-03-12,Varsity Tennis: victory for UCL,Pi Media,News,,"Sport, Varsity, Tennis",,
PI0030,2020-03-16,Gender and sexuality: breaking down the taboo through education,Isabelle Osborne,Opinion,,"LGBT, Education, Politics, LGBT history month",,
PI0031,2020-03-18,Governor of the Bank of England speaks at UCL,Daria Mosolova,News,,"Economics, Bank of England, Climate Crisis",,
PI0032,2020-06-12,Post-pandemic economic policy: where next?,Owen Groves,Opinion,,"Covid-19, Inequality, Economics",,
PI0033,2020-06-23,Confronting and dismantling white privilege,Katie Sperring,Features,,"Black Lives Matter, Racism, Education",,
PI0034,2020-06-23,"Decolonising the curriculum: the 'male, pale and stale' voices that need to be banished",Katie Sperring,Opinion,,"Education, Higher Education, Black Lives Matter, Civil rights, Inequality",,
PI0035,2020-08-20,A-Level results U-turn: students to receive teacher-estimated grades,Gabriel Roberts,News,,"Education, Higher Education, UK politics",,
PI0036,2020-11-06,Gut microbes: our friends not our foes,Kevin Yu,Science and Tech,,Health,,
PI0037,2021-07-07,Athletes and the struggle to talk openly about mental health,Alexander Hancock,Opinion,,"Mental Health, Sport, Tennis",,
PI0038,2021-09-05,Summer Rugby Internationals match report: Wales vs. Argentina,Morgan Roberts,Features,,"Rugby, Sport",,
PI0039,2022-10-07,‘Inspiring Walt Disney’ at the Wallace Collection,Rebecca Weigler,Lifestyle & Culture,,Exhibitions,,
PI0040,2022-10-31,Cecilia Vicuña’s Brain Forest Quipu at Tate Modern,Isobel Knight,Lifestyle & Culture,,"Exhibitions, Art",,
PI0041,2022-11-15,Editorial Issue 2: Social Media Platforms Are a Headache to Own- Who Wants to Buy Them and Does it Matter?,Pi Media,Editorial,,"Social Media, Technology",,
PI0042,2022-12-06,"US, China and The Battle for Semiconductor Supremacy",Kacper Liskiewicz,Opinion,,"US, China, Trade War, Technology",,
PI0043,2022-12-09,The 2022 Turner Prize,Adya Chetiya,Lifestyle & Culture,,"Exhibitions, Art, Museums and Art",,
PI0044,2023-01-25,"Current Teacher Shortages Might Hinder Rishi Sunak's ""Maths-to-18"" Plan",Ekaterina Dudakova,News,,Education; UK politics,,
PI0045,2023-01-25,"Current Teacher Shortages Might Hinder Rishi Sunak’s ""Maths-to-18"" Plan",Ekaterina Dudakova,News,,"Education, UK politics",,
PI0046,2023-01-25,The Current Teacher Shortage and What it Means for the Future of Education,Amelia Cooper,News,,Education,,
PI0047,2023-01-31,Tár Review – Acerbic Composer’s Fall From Grace Captures American Cinema’s Identity Crisis,Will Palmer,Lifestyle & Culture,,"TV and Film, US",,
PI0048,2023-02-15,Walking a Tightrope: The Complex Future of US-China Relations,Keziah Cho,Opinion,,"China, US, politics",,
PI0049,2023-03-08,Editorial Issue 7: Why the UK Government Should Not Cap International Student Places,Pi Media,Editorial,,UK politics,,
PI0050,2023-03-22,The End of an Era: Examining the Uncertain Future of a Dis-United Kingdom,Alex McQuibban,Opinion,,United Kingdom; UK politics,,
PI0051,2023-03-22,UCL To Develop £15m School Language Learning Programme,Laura Jackson,News,,language; UK; UK politics; UCL,,
PI0052,2023-09-30,London on a Budget: Tips for Making Extra Money,Zoë Dahse,Lifestyle & Culture,,Job Search; Finance; Student Life,,
PI0053,2023-10-19,AI language models support schizophrenia diagnosis: What does this mean for the future of psychiatry?,Maria Witczak,Science and Tech,,medicine; Research,,
PI0054,2023-10-20,UCL Friends of Israel organise vigil for fallen Israelis,Edouard De Bray,News,,"UCL Society, Israel, Israel-Gaza, Vigil",,
